"cow_id","DIM_bins_w","An_Parity_rl","An_LactDay","Trg_MilkProd","weight","An_BW","BW_gain","asfed_intake","Dt_DMIn","bcs_value","Trg_MilkFatp","Trg_MilkTPp","SCC","Days to Last Breeding","An_GestDay","age_m","An_BW_mature","Trg_FrmGain","An_GestLength","Fet_BWbrth","Trg_MilkLacp","Trg_RsrvGain","An_AgeDay","Dt_NDFIn","ME","MP"
936,2,6,18.33333333,28.46,724.1666667,725.79,-0.429833333,32.06666667,14.43,NA,5.55,3.71,114,0,0,92,700,0,280,44.1,4.85,0,2800.1925,4.329,60.9415358082147,2012.07613890062
936,3,6,24.66666667,33.90166667,722.8333333,723.1633333,-0.253166667,39.83333333,17.925,NA,5.55,3.71,114,0,0,92,700,0,280,44.1,4.85,0,2800.1925,5.3775,68.5431710452822,2365.32791255014
936,4,6,32.5,35.45666667,721,721.4421667,-0.204333333,40.76666667,18.345,NA,5.55,3.71,114,0,0,92,700,0,280,44.1,4.85,0,2800.1925,5.5035,70.6950775694848,2456.48470063288
936,5,6,36.5,39.485,720.5,720.765,-0.1895,48.3,21.735,NA,5.55,3.71,114,0,0,92,700,0,280,44.1,4.85,0,2800.1925,6.5205,76.3229111190593,2728.97367040143
974,7,5,51,43.79,781,796.191,1.114,44.1,19.845,NA,5.06,2.94,76,0,0,75,700,0,280,44.1,4.85,0,2282.765625,5.9535,77.9771529655508,2466.49612179968
4256,11,6,83,20.43,786,787.706,0.286,64.2,28.89,NA,5.13,3.33,113,0,0,97,700,0,280,44.1,4.85,0,2952.376875,8.667,49.1972303490131,1733.02201189501
4256,24,6,173,18.26,766,746.325,3.221,29.6,13.32,NA,5.53,3.61,164,130,0,100,700,0,280,44.1,4.85,0,3043.6875,3.996,46.9911757476811,1435.5959112027
4256,32,6,226,20.395,773,785.2925,0.132,47.55,21.3975,NA,4.74,4.22,214,130,0,102,700,0,280,44.1,4.85,0,3104.56125,6.41925,49.6325234544346,1874.23129001697
4256,33,6,233,13.05,800,786.254,0.135,43.6,19.62,NA,4.74,4.22,214,130,0,102,700,0,280,44.1,4.85,0,3104.56125,5.886,39.8732816237276,1396.00735879972
4289,1,6,12.5,37.4475,754.5,753.33025,-0.7885,36,16.2,3.70167125,0,0,0,0,0,94,700,0,280,44.1,4.85,0,2861.06625,4.86,32.4380188601292,508.521033942326
4289,2,6,18,45.19285714,749.1428571,749.0387143,-0.577714286,46.9,21.105,3.194735714,0,0,0,0,0,94,700,0,280,44.1,4.85,0,2861.06625,6.3315,34.7098339017547,599.578705059735
4289,3,6,25,47.11142857,743.2857143,746.0062857,-0.167857143,53.51428571,24.08142857,3.015667857,0,0,0,0,0,94,700,0,280,44.1,4.85,0,2861.06625,7.224428571,35.2447180923881,652.0157632759
4289,4,6,32,52.81,748.5714286,748.201,0.662857143,56.18571429,25.28357143,2.927930714,3.12,2.451428571,926.5714286,0,0,94.85714286,700,0,280,44.1,4.85,0,2887.15500008696,7.585071429,71.6244321888608,2549.91029470466
4289,5,6,38.5,53.75,751.5,753.3368333,0.842666667,59.15,26.6175,2.909648333,3.64,2.86,1081,0,0,95,700,0,280,44.1,4.85,0,2891.503125,7.98525,78.5091072484585,2925.60441027496
4316,6,6,46,29.13,714,722.116,-0.067,62.4,28.08,3.14096,6.72,2.88,131,0,0,91,700,0,280,44.1,4.85,0,2769.755625,8.424,64.5078149157324,1927.10400498316
4338,4,6,32,44.26285714,800.4285714,798.7222857,-0.034428571,49.14285714,22.11428571,2.901146429,4.72,3.13,19,0,0,89,700,0,280,44.1,4.85,0,2708.881875,6.634285713,77.2521932786402,2646.50167159947
4338,5,6,36.5,46.48,797.5,798.3785,-0.267,57.15,25.7175,2.87791,4.72,3.13,19,0,0,89,700,0,280,44.1,4.85,0,2708.881875,7.71525,79.9786278609737,2806.63602763261
4384,2,6,18,42.24428571,766.8571429,772.2574286,-2.459571429,39.78571429,17.90357143,NA,3.63,2.83,29,0,0,87,700,0,280,44.1,4.85,0,2648.008125,5.371071429,66.5376967586603,2287.30482190311
4384,3,6,25,46.61142857,762,763.2032857,-0.479428571,44.81428571,20.16642857,NA,3.63,2.83,29,0,0,87,700,0,280,44.1,4.85,0,2648.008125,6.049928571,70.9806057189996,2505.02348260922
4384,4,6,30,49.8,766.6666667,761.7753333,-0.289,43.06666667,19.38,NA,3.63,2.83,29,0,0,87,700,0,280,44.1,4.85,0,2648.008125,5.814,74.3133632538201,2623.23355300014
4441,1,5,13.5,35.615,703,723.163,1.009,40.5,18.225,NA,5.09,4.1,35,0,0,79,700,0,280,44.1,4.85,0,2404.513125,5.4675,69.7395546599613,2651.02559018578
4441,2,5,18,38.84714286,734.5714286,727.442,0.111714286,43.74285714,19.68428571,NA,5.09,4.1,35,0,0,79,700,0,280,44.1,4.85,0,2404.513125,5.905285713,74.3467440303642,2877.05520287931
4441,3,5,25.16666667,37.74,719.3333333,724.9706667,-1.329333333,42.25,19.0125,NA,5.09,4.1,35,0,0,79,700,0,280,44.1,4.85,0,2404.513125,5.70375,72.8200789952566,2803.7322949527
4441,4,5,32.33333333,39.44166667,727,726.9216667,1.191333333,49.21666667,22.1475,NA,5.09,4.1,35,0,0,79,700,0,280,44.1,4.85,0,2404.513125,6.64425,75.2048771243588,2958.30273624544
4441,5,5,36,40.53,723,732.259,1.457,50.8,22.86,NA,5.09,4.1,35,0,0,79,700,0,280,44.1,4.85,0,2404.513125,6.858,76.8144583470045,3036.72698288246
4444,3,6,27.5,28.215,797.5,793.8695,1.3165,44.45,20.0025,2.872345,4.46,3.07,30,0,0,81,700,0,280,44.1,4.85,0,2465.386875,6.00075,56.1884490073303,1856.97514405195
4444,4,6,32,45.22571429,796.8571429,799.6812857,1.315285714,53.07142857,23.88214286,NA,4.46,3.07,30,0,0,81,700,0,280,44.1,4.85,0,2465.386875,7.164642858,76.563356774906,2680.35729351133
4444,5,6,36.5,47.595,814.5,805.445,1.344,51.95,23.3775,NA,4.46,3.07,30,0,0,81,700,0,280,44.1,4.85,0,2465.386875,7.01325,79.5083377485358,2779.6215033776
4453,3,5,25,43.56857143,738.1428571,738.5335714,-2.509571429,47.38571429,21.32357143,NA,4.55,2.78,15,0,0,79,700,0,280,44.1,4.85,0,2404.513125,6.397071429,72.6927136428748,2359.31577337966
4453,4,5,32,48.88857143,728.5714286,728.2431429,-0.389571429,54.17142857,24.37714286,NA,4.55,2.78,15,0,0,79,700,0,280,44.1,4.85,0,2404.513125,7.313142858,78.7411142627597,2621.60898844224
4453,5,5,38,49.108,723,723.8142,-1.406,55.26,24.867,NA,4.55,2.78,15,0,0,79,700,0,280,44.1,4.85,0,2404.513125,7.4601,78.9049269547261,2637.26524963755
4453,26,5,187,30.52,698.6,703.546,0.9042,52.52,23.634,NA,4.88,3.15,19,124,54,84,700,0,280,44.1,4.85,0,2556.6975,7.0902,59.11155093917,2032.43177650537
4453,27,5,191,38.60333333,708.3333333,706.511,1.47,52.4,23.58,NA,4.88,3.15,19,124,54,84,700,0,280,44.1,4.85,0,2556.6975,7.074,69.3325683467786,2401.57661597106
4458,3,5,24.4,49.398,926,925.307,-3.94,46.68,21.006,NA,4.54,2.72,185,0,0,77,700,0,280,44.1,4.85,0,2343.639375,6.3018,83.1751477364916,2609.57313706556
4458,4,5,32,51.39,908.1428571,908.2055714,-0.703428571,48.6,21.87,NA,4.54,2.72,185,0,0,77,700,0,280,44.1,4.85,0,2343.639375,6.561,85.1660572709979,2697.78030402852
4458,5,5,39,52.50142857,907,906.8958571,0.183428571,54.11428571,24.35142857,NA,4.54,2.72,185,0,0,77,700,0,280,44.1,4.85,0,2343.639375,7.305428571,86.4424212742898,2782.36531382956
4458,6,5,46.5,56.63666667,907.3333333,905.862,-1.120666667,57.13333333,25.71,NA,4.54,2.72,185,0,0,77,700,0,280,44.1,4.85,0,2343.639375,7.713,91.2615521780301,2967.51457863551
4458,7,5,53,55.70285714,882.8571429,885.9818571,-4.105,54.4,24.48,NA,4.157142857,2.725714286,217.5714286,0,0,77.57142857,700,0,280,44.1,4.85,0,2361.03187495652,7.344,86.782225457288,2908.24897626762
4483,2,5,17.66666667,35.95166667,751.3333333,741.273,-2.118166667,34.98333333,15.7425,NA,4.38,2.85,67,0,0,74,700,0,280,44.1,4.85,0,2252.32875,4.72275,63.1012563869505,1992.98144443215
4483,3,5,25,38.66,728.8571429,724.158,-2.413857143,36.07142857,16.23214286,NA,4.38,2.85,67,0,0,74,700,0,280,44.1,4.85,0,2252.32875,4.869642858,65.9153776072025,2111.82406725554
4483,4,5,32.5,28.87166667,702.3333333,707.6066667,-1.647166667,31,13.95,NA,4.38,2.85,67,0,0,74,700,0,280,44.1,4.85,0,2252.32875,4.185,54.2143584918639,1665.30292467044
4483,5,5,39,38.50857143,704.7142857,704.3457143,0.380714286,36.05714286,16.22571429,NA,4.38,2.85,67,0,0,74,700,0,280,44.1,4.85,0,2252.32875,4.867714287,65.3177993026747,2100.02370365062
4483,6,5,46,41.00142857,703.8571429,703.6481429,-0.652142857,40.02857143,18.01285714,NA,4.225714286,2.734285714,61.42857143,0,0,74.42857143,700,0,280,44.1,4.85,0,2265.37312504348,5.403857142,66.8823252863623,2163.55158976512
4483,7,5,53,39.55857143,696.2857143,695.9811429,-1.520714286,43.68571429,19.65857143,NA,4.02,2.58,54,0,0,75,700,0,280,44.1,4.85,0,2282.765625,5.897571429,63.3999543958333,2042.47544114469
4483,8,5,60,40.61142857,684.8571429,686.5405714,-0.961285714,40.45714286,18.20571429,NA,4.02,2.58,54,0,0,75,700,0,280,44.1,4.85,0,2282.765625,5.461714287,64.3329044344396,2054.63819045588
4483,9,5,67,39.91333333,683.5,683.6945,0.1025,45.16666667,20.325,NA,4.02,2.58,54,0,0,75,700,0,280,44.1,4.85,0,2282.765625,6.0975,63.5124106141245,2062.53990004392
4483,10,5,72.5,39.165,685.25,685.62775,0.738,38.725,17.42625,NA,4.02,2.58,54,0,0,75,700,0,280,44.1,4.85,0,2282.765625,5.227875,62.7435738022953,1987.3785940732
4503,0,5,6.5,35.33,866.5,875.654,-5.411,29.05,13.0725,NA,0,0,0,0,0,74,700,0,280,44.1,4.85,0,2252.32875,3.92175,34.0200787632212,458.436591476489
4503,1,5,12,38.594,826,842.1954,-3.0218,36.18,16.281,NA,0,0,0,0,0,74,700,0,280,44.1,4.85,0,2252.32875,4.8843,34.6528253790689,538.388562776905
4503,2,5,17.5,40.0975,826.25,825.594,-1.69625,43.875,19.74375,NA,0,0,0,0,0,74,700,0,280,44.1,4.85,0,2252.32875,5.923125,34.8672147309587,602.659044599881
4503,3,5,25,41.27285714,814.4285714,818.4592857,0.11,44.07142857,19.83214286,NA,0,0,0,0,0,74,700,0,280,44.1,4.85,0,2252.32875,5.949642858,35.1069829569256,606.638595989171
4503,4,5,32,36.12142857,822.7142857,822.3872857,0.939857143,48.52857143,21.83785714,NA,3.378571429,2.135714286,67.85714286,0,0,74.71428571,700,0,280,44.1,4.85,0,2274.06937486956,6.551357142,57.7216752028663,1760.19971195222
4503,5,5,38.5,41.72166667,827.8333333,824.2291667,-0.172166667,51.65,23.2425,NA,4.73,2.99,95,0,0,75,700,0,280,44.1,4.85,0,2282.765625,6.97275,74.2079144421112,2474.16140757647
4522,1,5,10.5,47.45,806,802.766,-3.8445,42.7,19.215,NA,4.85,3.54,26,0,0,71,700,0,280,44.1,4.85,0,2161.018125,5.7645,83.6004519602078,3001.03406133574
4522,2,5,19,47.858,765,773.1552,-3.172,42.12,18.954,NA,4.85,3.54,26,0,0,71,700,0,280,44.1,4.85,0,2161.018125,5.6862,83.7037190905486,3028.69030546156
4522,3,5,25,50.72428571,763.2857143,759.6907143,-0.719142857,49.14285714,22.11428571,NA,4.85,3.54,26,0,0,71,700,0,280,44.1,4.85,0,2161.018125,6.634285713,87.1343372177607,3226.60338726228
4522,4,5,32.33333333,49.02166667,753.8333333,752.1628333,-1.706,47.13333333,21.21,NA,4.85,3.54,26,0,0,71,700,0,280,44.1,4.85,0,2161.018125,6.363,84.7914649941763,3122.84917979055
4522,5,5,38,50.554,741.2,741.352,-2.0488,49.14,22.113,NA,4.63,3.43,23,0,0,71.2,700,0,280,44.1,4.85,0,2167.1055,6.6339,84.4719856041765,3132.30157854531
4534,4,4,32,47.31857143,806.8571429,806.4531429,-0.385571429,49.72857143,22.37785714,3.765332857,4.78,2.88,109,0,0,66,700,0,280,44.1,4.85,0,2008.83375,6.713357142,80.5331984385129,2620.66244314515
4534,5,4,39,46.44428571,802.7142857,800.8058571,-1.730285714,43.3,19.485,3.295525833,4.78,2.88,109,0,0,66,700,0,280,44.1,4.85,0,2008.83375,5.8455,79.3501440608981,2534.76147508352
